country,scenario,temp,precip
Puerto Rico,hg85bi50,251.34513333540596,1728.5062527009263
Paraguay,hg85bi50,242.60276981590428,1538.4696436049262
Rwanda,hg85bi50,221.68806771502045,1052.4280251599891
Sierra Leone,hg85bi50,288.72385936322314,2926.7573607886065
El Salvador,hg85bi50,273.1253717514774,1695.2491141829034
Suriname,hg85bi50,298.9516565306129,1340.3311809397876
Togo,hg85bi50,295.1622243817594,1046.8946852600154
Thailand,hg85bi50,286.22087468888213,2436.4342896852636
Timor-Leste,hg85bi50,265.4070600526395,1535.04295521864
Trinidad and Tobago,hg85bi50,279.5693332043596,1790.3195726905558
Tanzania,hg85bi50,260.47390806733614,1033.0829694175357
Uganda,hg85bi50,251.62387263550107,1236.1740888638665
United States,hg85bi50,169.8627451375669,1518.96383641497
Venezuela,hg85bi50,287.5656662743134,909.147215892103
Vietnam,hg85bi50,259.2444086836744,1831.6542405281336
Yemen,hg85bi50,211.40956904359513,244.11147360742822
Zambia,hg85bi50,239.51079615733053,1068.8206290400785
Zimbabwe,hg85bi50,238.09375643107742,607.6897877436251
Angola,cn85bi50,234.64410007352393,773.5890000445653
Burundi,cn85bi50,215.84968702850014,1233.7125150828306
Benin,cn85bi50,290.696717713175,1120.8757016349384
Belize,cn85bi50,253.73281057320844,2341.708199172029
Bolivia,cn85bi50,262.84738287432367,1553.3803736930324
Brazil,cn85bi50,247.3572194746692,1463.2302981513683
Central African Republic,cn85bi50,274.30069256765137,1610.8303417731672
China,cn85bi50,197.65943454809596,1518.7180163181788
Côte d'Ivoire,cn85bi50,278.0270627092345,1597.2783384469167
Cameroon,cn85bi50,255.01595681250558,1961.6152542197449
Democratic Republic of the Congo,cn85bi50,258.8869710744016,1628.2335918526703
Republic of Congo,cn85bi50,256.2470500956427,1708.5275833731762
Colombia,cn85bi50,249.56296615462912,3247.453986337704
Costa Rica,cn85bi50,263.0306403808118,2932.0032285570405
Cuba,cn85bi50,261.79803136387045,1363.9276530411614
Dominican Republic,cn85bi50,249.70237264280695,1261.8166189419824
Ecuador,cn85bi50,252.45614735554565,2924.3262278780635
Ethiopia,cn85bi50,219.30560320189795,1030.1390463181417
Gabon,cn85bi50,254.93684280809376,1722.9147666556871
Ghana,cn85bi50,282.7661470050414,1827.233186764548
Guinea,cn85bi50,263.3237632534881,1980.5335969147445
Equatorial Guinea,cn85bi50,248.7014812803976,2012.795093810957
Guatemala,cn85bi50,229.12904737183325,2060.0636012788145
Guyana,cn85bi50,283.3856811551273,1741.952257713238
Honduras,cn85bi50,248.70172937407034,1465.4043408622395
Haiti,cn85bi50,256.8718629008902,1519.376400459404
Indonesia,cn85bi50,261.53326784072607,2475.1677777630834
India,cn85bi50,260.20523038574,2362.5893698890604
Jamaica,cn85bi50,249.41924550730312,2334.3830096544166
Kenya,cn85bi50,283.0498571493486,517.170147769279
Cambodia,cn85bi50,263.19601840599995,2260.622146917866
Lao PDR,cn85bi50,224.09711754344045,1648.4563172176977
Liberia,cn85bi50,275.31717688146745,3032.6751997636065
Sri Lanka,cn85bi50,282.3510988130206,2069.6537779387822
Madagascar,cn85bi50,231.51102844090863,1712.4372092077467
Mexico,cn85bi50,237.93284306822204,1381.7152193016611
Myanmar,cn85bi50,276.0183939950634,3225.7077063342213
Mozambique,cn85bi50,252.9140376261508,1101.8364901295254
Malawi,cn85bi50,231.24185489726025,1063.3670762509335
Malaysia,cn85bi50,279.2635313898316,2617.8712980530586
Nigeria,cn85bi50,279.2444392414372,1576.0408576410262
Nicaragua,cn85bi50,277.5214057177575,1840.4407448361926
Nepal,cn85bi50,228.98810670033288,1972.365548636503
Panama,cn85bi50,257.1798732636474,2708.7602518530653
Peru,cn85bi50,181.73024329668635,1060.9079961187515
Philippines,cn85bi50,259.56793543453625,2452.5777394665215
Papua New Guinea,cn85bi50,245.11488827176686,2913.2226178728292
Puerto Rico,cn85bi50,245.4133163679372,1946.9457023936206
Paraguay,cn85bi50,234.36336099284563,1583.171995305248
Rwanda,cn85bi50,212.56381422987755,1093.2632315989536
Sierra Leone,cn85bi50,280.16634177119056,3104.757016778596
El Salvador,cn85bi50,264.8126420802542,1842.1319377028622
Suriname,cn85bi50,290.7680185506442,1630.5435150145092
Togo,cn85bi50,286.1935243934695,1119.4227180821388
Thailand,cn85bi50,279.40599701102843,2531.087817782206
Timor-Leste,cn85bi50,259.29749432667444,1852.5850959054806
Trinidad and Tobago,cn85bi50,274.41067362369876,1821.9451788014462
Tanzania,cn85bi50,249.8374870888743,1185.299085965359
Uganda,cn85bi50,241.18302731762196,1343.2591317937658
United States,cn85bi50,162.43892204261937,1406.8371856671376
Venezuela,cn85bi50,279.7207318510502,1008.2071473703044
Vietnam,cn85bi50,249.1153683449498,2013.5187732526772
Yemen,cn85bi50,202.02015223509358,250.4963942094586
Zambia,cn85bi50,229.3229039541426,1123.9901164366495
Zimbabwe,cn85bi50,228.50374692138342,626.1345443527724
Angola,mr85bi50,236.8556090358494,709.2059866947245
Burundi,mr85bi50,213.61635447157425,1208.531988839407
Benin,mr85bi50,299.1590469185567,1231.106873677712
Belize,mr85bi50,269.68028277147073,2862.9502271189563
Bolivia,mr85bi50,288.4740137979829,1305.317940650102
Brazil,mr85bi50,258.67687955231094,1298.5129861221092
Central African Republic,mr85bi50,273.07455986020744,1482.9191404053252
China,mr85bi50,216.53346185172896,1368.0426672812732
Côte d'Ivoire,mr85bi50,270.393867132602,1441.8693689825052
Cameroon,mr85bi50,258.6389019223125,1810.5870201189755
Democratic Republic of the Congo,mr85bi50,257.4230037965581,1518.1026425871576
Republic of Congo,mr85bi50,260.52580329419897,1584.1819053442357
