"distance","diffelev","sddiffelev","crowdist","sdcrowdist","diffpole","sddiffpole","planted","note"
106,-79.4937922518784,566.412326976604,0.105926282018092,0.250361263335428,0.00139088380033573,0.0462895249235094,0.0858400154918859,"shifted"
107,-78.5543029192461,572.124340990308,0.103587088681183,0.219754295179207,0.0015142180747925,0.046170809248558,0.0854818967183436,"shifted"
108,-77.9370480527679,571.354032778085,0.103721196673222,0.167648580123513,0.00143263039701312,0.0461816653215052,0.0851262642882177,"shifted"
109,-76.4461030023513,578.217362116715,0.102480601438548,0.197420158369749,0.00158610028873403,0.0461211749063274,0.0845159172613072,"shifted"
110,-75.1826215275829,578.215073663075,0.104584803557378,0.219336801700838,0.00160232234300296,0.0460521861019286,0.0838699930450245,"shifted"
111,-76.4327065495738,581.970692178937,0.10465390737648,0.268071717281731,0.00173974862238692,0.0460159143724282,0.0827224622548137,"shifted"
112,-74.6947489319183,581.344043290961,0.108122562391554,0.313322204149161,0.00150317447591816,0.0459833640612032,0.0819490702947698,"shifted"
113,-73.3349202934629,583.105580552212,0.100709192383895,0.161326650516256,0.0011483994030115,0.0459386636073554,0.0814125568979101,"shifted"
114,-74.1025965032704,581.492839732981,0.104543447138079,0.186643337953245,0.00128924487674857,0.0459162626523386,0.0809410076075349,"shifted"
115,-73.5276541571235,580.970474538547,0.102082966459062,0.199408552613455,0.00150746307038848,0.045743441238683,0.0807053116266382,"shifted"
116,-74.176537761053,576.99010625632,0.107459066516314,0.280121095833087,0.00157838410802887,0.0459095356204226,0.079967545987211,"shifted"
117,-73.0158610431874,578.95880133087,0.10108706826042,0.152860140370511,0.00147157849026878,0.0459087996583943,0.0795695682333441,"shifted"
