"X","Y","row","col"
-46.5416679382324,-23.625,77,1602
-46.4583320617676,-23.625,77,1603
-70.375,-23.625,77,1316
133.875,-23.7083339691162,76,3767
133.70832824707,-23.7916660308838,75,3765
-46.9583320617676,-23.5416660308838,78,1597
-46.875,-23.5416660308838,78,1598
-46.7916679382324,-23.5416660308838,78,1599
-46.7083320617676,-23.5416660308838,78,1600
-46.625,-23.5416660308838,78,1601
-46.5416679382324,-23.5416660308838,78,1602
-46.4583320617676,-23.5416660308838,78,1603
-46.375,-23.5416660308838,78,1604
-46.2916679382324,-23.5416660308838,78,1605
-46.2083320617676,-23.5416660308838,78,1606
-46.875,-23.4583339691162,79,1598
-46.7916679382324,-23.4583339691162,79,1599
-46.7083320617676,-23.4583339691162,79,1600
-46.625,-23.4583339691162,79,1601
-46.5416679382324,-23.4583339691162,79,1602
-46.4583320617676,-23.4583339691162,79,1603
-46.375,-23.4583339691162,79,1604
-46.2916679382324,-23.4583339691162,79,1605
-47.4583320617676,-23.5416660308838,78,1591
-47.4583320617676,-23.4583339691162,79,1591
-45.0416679382324,-23.4583339691162,79,1620
-51.4583320617676,-23.5416660308838,78,1543
-70.375,-23.5416660308838,78,1316
-45.9583320617676,-23.2916660308838,81,1609
-47.2916679382324,-23.2916660308838,81,1593
-51.2083320617676,-23.2916660308838,81,1546
-51.125,-23.2916660308838,81,1547
-46.7083320617676,-23.375,80,1600
-46.7916679382324,-23.2916660308838,81,1599
-46.7083320617676,-23.2916660308838,81,1600
30.7083339691162,-23.2916660308838,81,2529
25.875,-23.375,80,2471
43.7916679382324,-23.2916660308838,81,2686
43.7083320617676,-23.375,80,2685
43.7916679382324,-23.375,80,2686
150.54167175293,-23.375,80,3967
-46.625,-23.125,83,1601
-46.5416679382324,-23.125,83,1602
-47.2083320617676,-23.125,83,1594
-45.7083320617676,-23.125,83,1612
-46.875,-23.2083339691162,82,1598
-46.7916679382324,-23.2083339691162,82,1599
-45.9583320617676,-23.2083339691162,82,1609
-45.875,-23.2083339691162,82,1610
-47.2916679382324,-23.2083339691162,82,1593
27.9583339691162,-23.2083339691162,82,2496
-43.0416679382324,-22.9583339691162,85,1644
-43.0416679382324,-22.875,86,1644
-43.7083320617676,-22.9583339691162,85,1636
-43.375,-22.9583339691162,85,1640
-43.7916679382324,-22.875,86,1635
-43.7083320617676,-22.875,86,1636
-43.625,-22.875,86,1637
-43.5416679382324,-22.875,86,1638
-43.4583320617676,-22.875,86,1639
-43.375,-22.875,86,1640
-43.2916679382324,-22.875,86,1641
-43.2083320617676,-22.875,86,1642
-42.0416679382324,-22.9583339691162,85,1656
-42.0416679382324,-22.875,86,1656
-42.375,-22.875,86,1652
-42.2916679382324,-22.875,86,1653
-48.4583320617676,-22.875,86,1579
-45.4583320617676,-22.9583339691162,85,1615
-46.5416679382324,-22.9583339691162,85,1602
-49.875,-22.9583339691162,85,1562
-42.9583320617676,-22.9583339691162,85,1645
-45.625,-23.0416660308838,84,1613
-45.5416679382324,-23.0416660308838,84,1614
-45.5416679382324,-22.9583339691162,85,1614
-47.125,-22.9583339691162,85,1595
-47.0416679382324,-22.9583339691162,85,1596
-47.2083320617676,-22.875,86,1594
-47.125,-22.875,86,1595
-47.0416679382324,-22.875,86,1596
14.5416669845581,-22.9583339691162,85,2335
30.4583339691162,-22.9583339691162,85,2526
47.7916679382324,-22.875,86,2734
